b,lambda_max,levina_mle,theilsen_slope,theilsen_d_s,n_points_fit,fit_ok
47,0.4,7.938710249407674,1.6568847242124027,3.3137694484248055,58,True
48,0.1,7.954417647928173,0.42292755411193533,0.8458551082238707,8,True
48,0.2,7.954417647928173,0.7530390797432747,1.5060781594865493,16,True
48,0.4,7.954417647928173,1.6642606151006363,3.3285212302012726,59,True
49,0.1,7.99842146196833,0.40997180186969184,0.8199436037393837,8,True
49,0.2,7.99842146196833,0.8292098120778584,1.6584196241557168,17,True
49,0.4,7.99842146196833,1.5709746346772748,3.1419492693545497,58,True
50,0.1,7.918341991999484,0.41371769306291695,0.8274353861258339,8,True
50,0.2,7.918341991999484,0.7434421370395095,1.486884274079019,16,True
50,0.4,7.918341991999484,1.674858408542565,3.34971681708513,59,True
51,0.1,7.877699434195957,0.4238359632099095,0.847671926419819,8,True
51,0.2,7.877699434195957,0.7674921332950682,1.5349842665901363,16,True
51,0.4,7.877699434195957,1.5974733183723455,3.194946636744691,57,True
52,0.1,7.890868725343124,0.41284671109019055,0.8256934221803811,8,True
52,0.2,7.890868725343124,0.8569295810726669,1.7138591621453338,18,True
52,0.4,7.890868725343124,1.5542208055030535,3.108441611006107,59,True
53,0.1,7.948769443940886,0.42053941516603466,0.8410788303320693,8,True
53,0.2,7.948769443940886,0.7384917426075419,1.4769834852150838,16,True
53,0.4,7.948769443940886,1.6904625513014389,3.3809251026028777,60,True
54,0.1,7.960678417037432,0.4137155511039692,0.8274311022079384,8,True
54,0.2,7.960678417037432,0.7504234541444256,1.5008469082888511,16,True
54,0.4,7.960678417037432,1.5925848733310166,3.1851697466620332,58,True
55,0.1,7.95531831729205,0.42034654456199205,0.8406930891239841,8,True
55,0.2,7.95531831729205,0.8103801454886216,1.6207602909772432,17,True
55,0.4,7.95531831729205,1.5125935564892072,3.0251871129784145,56,True
56,0.1,7.923251775769425,0.41578905939611527,0.8315781187922305,8,True
56,0.2,7.923251775769425,0.7295334566783683,1.4590669133567367,16,True
56,0.4,7.923251775769425,1.6038698505739548,3.2077397011479096,58,True
57,0.1,7.935703574493408,0.4163355154176088,0.8326710308352177,8,True
