quadrant,year,kernel,n_eff_global,noise_frac,n_noisy,T_log,Regime
NW,2021,Boxcar_W5,9,-0.1,8,0.0,Equilibrium
NW,2021,Boxcar_W5,9,0.2,11,0.0,Equilibrium
NW,2021,Boxcar_W5,9,-0.2,7,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,0.01,10,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,-0.01,10,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,0.05,10,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,-0.05,10,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,0.1,11,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,-0.1,9,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,0.2,12,0.0,Equilibrium
NW,2022,EMA_alpha0.5,10,-0.2,8,0.0,Equilibrium
NW,2022,Boxcar_W5,10,0.01,10,0.0,Equilibrium
NW,2022,Boxcar_W5,10,-0.01,10,0.0,Equilibrium
NW,2022,Boxcar_W5,10,0.05,10,0.0,Equilibrium
NW,2022,Boxcar_W5,10,-0.05,10,0.0,Equilibrium
NW,2022,Boxcar_W5,10,0.1,11,0.0,Equilibrium
NW,2022,Boxcar_W5,10,-0.1,9,0.0,Equilibrium
NW,2022,Boxcar_W5,10,0.2,12,0.0,Equilibrium
NW,2022,Boxcar_W5,10,-0.2,8,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,0.01,9,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,-0.01,9,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,0.05,9,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,-0.05,9,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,0.1,10,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,-0.1,8,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,0.2,11,0.0,Equilibrium
SE,2001,EMA_alpha0.5,9,-0.2,7,0.0,Equilibrium
SE,2001,Boxcar_W5,9,0.01,9,0.0,Equilibrium
SE,2001,Boxcar_W5,9,-0.01,9,0.0,Equilibrium
SE,2001,Boxcar_W5,9,0.05,9,0.0,Equilibrium
SE,2001,Boxcar_W5,9,-0.05,9,0.0,Equilibrium
SE,2001,Boxcar_W5,9,0.1,10,0.0,Equilibrium
SE,2001,Boxcar_W5,9,-0.1,8,0.0,Equilibrium
SE,2001,Boxcar_W5,9,0.2,11,0.0,Equilibrium
SE,2001,Boxcar_W5,9,-0.2,7,0.0,Equilibrium
SE,2002,EMA_alpha0.5,9,0.01,9,0.0,Equilibrium
SE,2002,EMA_alpha0.5,9,-0.01,9,0.0,Equilibrium
SE,2002,EMA_alpha0.5,9,0.05,9,0.0,Equilibrium
SE,2002,EMA_alpha0.5,9,-0.05,9,0.0,Equilibrium
SE,2002,EMA_alpha0.5,9,0.1,10,0.0,Equilibrium
SE,2002,EMA_alpha0.5,9,-0.1,8,0.0,Equilibrium
