b,n_points_fit,lambda_max_used,slope_used,d_s_robust,fit_ok,Tlog_npoints_median
137,16,0.2,0.7226340185569132,1.4452680371138265,True,-6.918342405856147
138,17,0.2,0.7667368466228521,1.5334736932457045,True,-6.679477061029862
139,16,0.2,0.764929009830164,1.529858019660328,True,-6.68926848660986
140,15,0.2,0.6905201559193062,1.3810403118386123,True,-7.092274310204028
141,17,0.2,0.8131002428867241,1.6262004857734482,True,-6.428368251877543
142,17,0.2,0.807394340991945,1.61478868198389,True,-6.459271989424795
143,17,0.2,0.8144754338020637,1.628950867604127,True,-6.420920079807865
144,16,0.2,0.7954935757803245,1.590987151560649,True,-6.523727728673992
145,17,0.2,0.8261987226475295,1.652397445295059,True,-6.357425570376777
146,16,0.2,0.7879844427952163,1.5759688855904326,True,-6.564397946854843
147,17,0.2,0.8062338640745383,1.612467728149077,True,-6.4655572489239095
148,17,0.2,0.8097862195106847,1.6195724390213695,True,-6.446317335217424
149,17,0.2,0.7754863331034862,1.5509726662069725,True,-6.632088963783017
150,16,0.2,0.7458540050940897,1.4917080101881794,True,-6.792580627432964
