diag,n_nodes_sub,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,r_value,d_s_est
15,1953,0.05,5,True,0.08541784330507483,0.02255990901112635,0.9093667552865193,0.17083568661014967
15,1953,0.1,8,True,0.10841922375258577,0.025076259340344385,0.8700687207533145,0.21683844750517153
15,1953,0.2,16,True,0.15059803215775347,0.02887407201124965,0.8125403816103929,0.30119606431550694
15,1953,0.4,59,True,0.26594256831429636,0.033737846492306364,0.7221868741982592,0.5318851366285927
15,1953,0.8,200,True,0.445757327735785,0.03526183305377291,0.6682994555762023,0.89151465547157
16,1953,0.05,4,True,0.07266335760750048,0.020672172799295167,0.9277284724008814,0.14532671521500096
16,1953,0.1,8,True,0.10383891680385093,0.024240282712517606,0.8680997759242978,0.20767783360770187
16,1953,0.2,16,True,0.14420484168876124,0.02808770664455262,0.808153676824166,0.2884096833775225
16,1953,0.4,58,True,0.2527163082169373,0.033129654386002856,0.7138489242529957,0.5054326164338746
16,1953,0.8,200,True,0.42780459721637604,0.03461967677564829,0.6598622508386922,0.8556091944327521
17,1953,0.05,5,True,0.0819056095651165,0.021785737710132643,0.9082485406060465,0.163811219130233
17,1953,0.1,8,True,0.10400245435022795,0.02433127512907592,0.8676343158090452,0.2080049087004559
17,1953,0.2,17,True,0.14850829325385292,0.028440869193930813,0.8031822851066294,0.29701658650770585
17,1953,0.4,57,True,0.251847714645006,0.03290220363186223,0.7181949031202702,0.503695429290012
17,1953,0.8,200,True,0.429247399948192,0.03443412165936117,0.6631143104375449,0.858494799896384
18,1953,0.05,5,True,0.08386200899504742,0.021978774284945525,0.9105739120850428,0.16772401799009484
18,1953,0.1,8,True,0.10637437723767988,0.024629971111499525,0.8698395714622433,0.21274875447535976
18,1953,0.2,17,True,0.15192482278877648,0.028740042128447413,0.8066627626827559,0.30384964557755295
18,1953,0.4,58,True,0.2599835478823935,0.03301293662630879,0.7249133464935776,0.519967095764787
18,1953,0.8,200,True,0.4394678493673919,0.03437166020294014,0.6724918831638345,0.8789356987347838
19,1953,0.05,4,True,0.07360565695441346,0.020737413516304346,0.9289769053591794,0.1472113139088269
19,1953,0.1,8,True,0.10512107653885461,0.024524064055145352,0.8682351127095413,0.21024215307770922
19,1953,0.2,18,True,0.15403122084399956,0.029026990251212127,0.7985430307381739,0.3080624416879991
19,1953,0.4,59,True,0.2582158206335216,0.0333065595681736,0.7164180138917438,0.5164316412670432
19,1953,0.8,200,True,0.43476941506253847,0.034588578566101466,0.6661963978137617,0.8695388301250769
20,1953,0.05,4,True,0.0735303924348369,0.02100112187652058,0.927219482702504,0.1470607848696738
20,1953,0.1,8,True,0.10508166280850172,0.024591099769354835,0.8675702309537016,0.21016332561700343
20,1953,0.2,17,True,0.1501551720757536,0.028687794802212174,0.8038610357477178,0.3003103441515072
