tag,window_type,window_center,pipeline,raw_csv,n_cities,feature_list,influencer_rank,city,delta_T_log,delta_abs,T_full,T_without_city,d_est_full,d_est_without_city
annual_2008.0_C,annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Beijing_China_39.9042_116.4074,-0.21975384615533344,0.21975384615533344,0.14551205752927662,-0.0742417886260568,4.048573118103324,3.9747857608354735
annual_2008.0_C,annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Chicago_USA_41.8781_-87.6298,-0.21805178456332014,0.21805178456332014,0.14551205752927662,-0.07253972703404353,4.048573118103324,3.97536382056232
annual_2008.0_C,annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Paris_France_48.8566_2.3522,-0.17583687451729743,0.17583687451729743,0.14551205752927662,-0.030324816988020798,4.048573118103324,3.989700986434908
annual_2008.0_C,annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Delhi_India_28.7041_77.1025,-0.1454569326967287,0.1454569326967287,0.14551205752927662,5.5124832547919964e-05,4.048573118103324,4.000018721675993
annual_2012.0_A,annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,New York_USA_40.7128_-74.006,-0.3418113064083161,0.3418113064083161,0.05257556967726757,-0.2892357367310485,4.017550156314501,3.901768812742409
annual_2012.0_A,annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Tokyo_Japan_35.6762_139.6503,-0.3105103564811573,0.3105103564811573,0.05257556967726757,-0.25793478680388976,4.017550156314501,3.9123993437700957
annual_2012.0_A,annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Beijing_China_39.9042_116.4074,-0.2731653495087406,0.2731653495087406,0.05257556967726757,-0.22058977983147304,4.017550156314501,3.9250825772270135
annual_2012.0_A,annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,San Diego_USA_32.7157_-117.1611,-0.1814577843950931,0.1814577843950931,0.05257556967726757,-0.12888221471782554,4.017550156314501,3.956228600548444
annual_2012.0_A,annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Chicago_USA_41.8781_-87.6298,-0.13524342871640563,0.13524342871640563,0.05257556967726757,-0.08266785903913806,4.017550156314501,3.9719240712325643
annual_2012.0_B,annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,New York_USA_40.7128_-74.006,-0.3418113064083161,0.3418113064083161,0.05257556967726757,-0.2892357367310485,4.017550156314501,3.901768812742409
annual_2012.0_B,annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Tokyo_Japan_35.6762_139.6503,-0.3105103564811573,0.3105103564811573,0.05257556967726757,-0.25793478680388976,4.017550156314501,3.9123993437700957
annual_2012.0_B,annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Beijing_China_39.9042_116.4074,-0.2731653495087406,0.2731653495087406,0.05257556967726757,-0.22058977983147304,4.017550156314501,3.9250825772270135
annual_2012.0_B,annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,San Diego_USA_32.7157_-117.1611,-0.1814577843950931,0.1814577843950931,0.05257556967726757,-0.12888221471782554,4.017550156314501,3.956228600548444
annual_2012.0_B,annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Chicago_USA_41.8781_-87.6298,-0.13524342871640563,0.13524342871640563,0.05257556967726757,-0.08266785903913806,4.017550156314501,3.9719240712325643
annual_2012.0_C,annual,2012.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,New York_USA_40.7128_-74.006,-0.3418113064083161,0.3418113064083161,0.05257556967726757,-0.2892357367310485,4.017550156314501,3.901768812742409
annual_2012.0_C,annual,2012.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Tokyo_Japan_35.6762_139.6503,-0.3105103564811573,0.3105103564811573,0.05257556967726757,-0.25793478680388976,4.017550156314501,3.9123993437700957
annual_2012.0_C,annual,2012.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Beijing_China_39.9042_116.4074,-0.2731653495087406,0.2731653495087406,0.05257556967726757,-0.22058977983147304,4.017550156314501,3.9250825772270135
