window_id,W,phase,d_point,d_std,T_log_point,T_log_mean,T_log_std,T_log_10,T_log_50,T_log_90,n_methods_used
nonoverlap_60_2400,60,declining,2.395912235346269,0.721621920653331,-6.567688016537007,-6.577779143724249,1.3945600696863252,-8.450889863441619,-6.567688016537007,-4.684486169632399,3
nonoverlap_60_2460,60,min,2.3004299378788433,1.283437210257403,-6.958625441961235,-6.951193984220222,2.644446678884643,-10.674354312467273,-6.958625441961235,-3.2428965714551974,2
nonoverlap_60_2520,60,declining,2.1990007779731853,0.919414854836172,-7.373911371271722,-7.433534155203539,1.7375452060556411,-9.829825115418553,-7.373911371271722,-4.917997627124891,3
nonoverlap_60_2580,60,declining,2.827706578809656,1.0848976188688053,-4.799773194379428,-4.712980412199552,2.033140309088075,-7.6213546110836745,-4.799773194379428,-1.9781917776751803,3
nonoverlap_60_2640,60,max,2.4924433131311865,1.011889290818505,-6.172456523122892,-6.222259042301242,1.9980719463846892,-9.102016474790588,-6.172456523122892,-3.2428965714551974,2
nonoverlap_60_2700,60,declining,2.330853231544055,0.7624864937327221,-6.83406199497819,-6.861492639472114,1.468964725700041,-8.720197379291225,-6.8340619949781924,-4.9479266106651565,3
nonoverlap_60_2760,60,rising,2.6756804775162064,0.5340732987878659,-5.422220435526089,-5.473641617824755,0.9961801672060856,-6.87998267254252,-5.422220435526089,-3.96445819850966,3
nonoverlap_60_2820,60,declining,2.4809409888192078,0.6338101517634198,-6.219551002122557,-6.154863893995473,1.2317925795852747,-7.807245158989516,-6.219551002122557,-4.6318568452556,3
nonoverlap_60_2880,60,max,2.4556087582455155,1.063981217901797,-6.323269882620911,-6.258582043086429,2.1717310302951636,-9.403643193786625,-6.323269882620911,-3.2428965714551974,2
nonoverlap_60_2940,60,declining,2.649718653862523,0.712909392995867,-5.528517087027917,-5.445059437772781,1.366887751368681,-7.38639626684909,-5.528517087027917,-3.670637907206747,3
nonoverlap_60_3000,60,rising,2.696152426641163,0.44400978435567967,-5.338401221948236,-5.317835647671578,0.8695092051378588,-6.421916985473556,-5.338401221948236,-4.254885458422916,3
nonoverlap_60_3060,60,declining,2.4600521090916065,0.6522498910490951,-6.305077273246173,-6.317742896425247,1.253524445487937,-7.9410741659180335,-6.305077273246175,-4.669080380574316,3
nonoverlap_60_3120,60,min,2.484102966743995,1.0236843217941602,-6.206604775000338,-6.168076568354253,2.060393974737895,-9.170312978545478,-6.206604775000338,-3.2428965714551974,2
nonoverlap_60_3180,60,max,2.4592781769250984,1.0587918762391055,-6.308246018203644,-6.256135077608921,2.152748899063355,-9.373595464952091,-6.308246018203644,-3.2428965714551974,2
nonoverlap_132_0,132,declining,3.917057754499689,2.2073665687281157,-0.4049905557925484,-0.24938449844842803,5.1501186608069744,-6.682983005932043,-0.4049905557925484,5.8730018943469515,3
