b,levina_mle,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,d_s
31,7.871167544239357,0.2,17,True,0.15032164838215617,0.02890463606348349,0.30064329676431234
31,7.871167544239357,0.4,56,True,0.2534704650796868,0.033225307272346266,0.5069409301593736
32,7.827397132579647,0.1,8,True,0.10355854929373197,0.02458178040570475,0.20711709858746394
32,7.827397132579647,0.2,16,True,0.14399013521433157,0.02842471159544095,0.28798027042866314
32,7.827397132579647,0.4,59,True,0.2556045052430244,0.0329838533651189,0.5112090104860488
33,7.927625349783027,0.1,8,True,0.10500755758913254,0.024633223914702462,0.21001511517826507
33,7.927625349783027,0.2,18,True,0.15400748590629132,0.028960481906974866,0.30801497181258264
33,7.927625349783027,0.4,57,True,0.2550329154402379,0.032873998146916994,0.5100658308804757
34,7.90218330938506,0.1,8,True,0.10566802919350413,0.024660087898461094,0.21133605838700825
34,7.90218330938506,0.2,16,True,0.14683129091084202,0.02846460826053882,0.29366258182168403
34,7.90218330938506,0.4,59,True,0.2596926004834557,0.03332778198377455,0.5193852009669114
35,7.861514236672479,0.1,8,True,0.10553621507672266,0.024863061002554015,0.21107243015344532
35,7.861514236672479,0.2,17,True,0.15090852700544843,0.028767526436377762,0.30181705401089687
35,7.861514236672479,0.4,58,True,0.2575822226836183,0.03337632943003521,0.5151644453672366
36,7.955752151525118,0.1,8,True,0.10671490303428945,0.024989947170080344,0.2134298060685789
36,7.955752151525118,0.2,16,True,0.14825456062216294,0.02892241120396672,0.2965091212443259
36,7.955752151525118,0.4,56,True,0.2576393069940978,0.03318516609402381,0.5152786139881956
37,7.953332004955717,0.1,8,True,0.10418542359147365,0.02442758677579071,0.2083708471829473
37,7.953332004955717,0.2,16,True,0.14475934820169015,0.02827406858659233,0.2895186964033803
37,7.953332004955717,0.4,58,True,0.25430082314572255,0.033024064321074374,0.5086016462914451
38,7.977343613546656,0.1,8,True,0.10664149900413972,0.024881086912788966,0.21328299800827943
38,7.977343613546656,0.2,15,True,0.14384548528485142,0.02837058910125196,0.28769097056970283
38,7.977343613546656,0.4,57,True,0.2582651599558215,0.03336683612568574,0.516530319911643
39,7.968022614497558,0.1,8,True,0.10775818885293985,0.02496287250369723,0.2155163777058797
39,7.968022614497558,0.2,16,True,0.14962372782397734,0.028834400288667548,0.2992474556479547
39,7.968022614497558,0.4,58,True,0.2631705352246252,0.033445199685262376,0.5263410704492504
40,7.873850168242122,0.1,8,True,0.10593983951971367,0.024753807656513797,0.21187967903942734
40,7.873850168242122,0.2,17,True,0.15124263702840882,0.029000301092062065,0.30248527405681763
40,7.873850168242122,0.4,59,True,0.26068335066982784,0.03342311702681029,0.5213667013396557
41,7.9876144182637745,0.1,8,True,0.10630032763683042,0.024775438398117453,0.21260065527366084
41,7.9876144182637745,0.2,17,True,0.15185122878537746,0.028779517857573392,0.3037024575707549
41,7.9876144182637745,0.4,60,True,0.26332162727926267,0.033201968779662853,0.5266432545585253
42,7.937867736429879,0.1,8,True,0.10603795783267224,0.024812706957307175,0.21207591566534448
42,7.937867736429879,0.2,17,True,0.15157379211690566,0.028858171752437767,0.30314758423381133
42,7.937867736429879,0.4,57,True,0.2574388149980535,0.03319049174222921,0.514877629996107
43,7.992511455306,0.1,8,True,0.10601645524630957,0.024771467113822016,0.21203291049261913
