W,G,k,n_min,n_max,mean_min,mean_max,median_min,median_max,std_min,std_max,diff_means,cliffs_delta,p_perm,q_fdr,significant_fdr_0_05
60,12,5,24,25,10.51677471000963,13.829652696448843,9.311692713461648,11.651357667053174,4.35420901003706,8.391717120413068,-3.3128779864392133,-0.25333333333333335,0.09645177411294353,0.4749625187406297,False
60,12,6,24,25,9.830164586974462,12.328018372247737,9.785698977658662,12.109832810480004,3.025124231180337,4.195064424924977,-2.497853785273275,-0.37666666666666665,0.02448775612193903,0.2350824587706147,False
60,12,7,24,25,9.08001726719408,10.80422177002435,8.582476685272145,11.114605185894924,2.7165526461276737,3.3107045547431437,-1.7242045028302702,-0.28,0.05697151424287856,0.34182908545727136,False
60,12,8,24,25,7.949037844003997,10.34014655424745,7.982194182468447,10.76814270146049,1.7140059877010099,3.077156672071978,-2.3911087102434534,-0.49333333333333335,0.0009995002498750624,0.015992003998001,True
60,12,9,24,25,7.405034938251557,9.751936168050454,7.475409636820487,9.378999765473528,1.7375287390331164,2.8126395060145817,-2.346901229798897,-0.48333333333333334,0.0009995002498750624,0.015992003998001,True
60,12,10,24,25,7.4817520227860514,9.04269594845179,7.802636130435669,9.149778906288953,1.920719166473904,2.7944239183085036,-1.5609439256657387,-0.36,0.03248375812093953,0.2590704647676162,False
60,12,11,24,25,7.283427243269454,8.820282047037258,7.416915231235112,9.226241069404567,2.0079752551008405,2.5904793231532097,-1.5368548037678043,-0.38333333333333336,0.0239880059970015,0.2350824587706147,False
60,12,12,24,25,6.666410454263848,8.805780938082682,6.710223387810906,9.164075915691551,1.6485898995063655,2.358231032875647,-2.1393704838188343,-0.52,0.001999000499750125,0.026168733814910725,True
60,12,13,24,25,6.3439854157244655,8.796311806282889,6.352378441646028,9.424401323774484,1.6294592027946868,2.485863556522284,-2.452326390558423,-0.5566666666666666,0.0014992503748125937,0.02158920539730135,True
60,12,14,24,25,6.141646549006872,8.646165143186842,5.928229931639714,9.146062948409586,1.538574237039029,2.4388107434188497,-2.50451859417997,-0.5966666666666667,0.0004997501249375312,0.01199400299850075,True
60,12,15,24,25,5.9398946642639485,8.372894269218131,5.52050229860007,9.046402552177062,1.6186236827343825,2.4170744463884026,-2.4329996049541824,-0.6033333333333334,0.0009995002498750624,0.015992003998001,True
60,12,16,24,25,5.772862587007338,8.169517805278709,5.4073212948272875,8.792444149447691,1.4972398790652985,2.3484906948856925,-2.3966552182713707,-0.6033333333333334,0.0004997501249375312,0.01199400299850075,True
60,12,17,24,25,5.719224312728277,7.98582656128407,5.240447813668105,8.252959378461686,1.6240447703558625,2.3888069535311147,-2.2666022485557935,-0.56,0.0004997501249375312,0.01199400299850075,True
60,12,18,24,25,5.280694818339181,7.876924305596015,5.0441684259488415,8.219813146231324,1.4059582649582651,2.398839708634224,-2.596229487256834,-0.6533333333333333,0.0004997501249375312,0.01199400299850075,True
60,12,19,24,25,5.122349603574787,7.738425784151969,4.875225623925701,8.07806477544963,1.388485181529577,2.411417167822529,-2.6160761805771813,-0.6533333333333333,0.0004997501249375312,0.01199400299850075,True
60,12,20,24,25,5.112401609346169,7.572484735180076,4.847672568418412,7.711083271571781,1.384222054821665,2.5476249232885584,-2.460083125833907,-0.6333333333333333,0.0004997501249375312,0.01199400299850075,True
132,1,5,19,19,16.263771951474425,16.38604175977284,11.86766050357982,11.967360413920408,19.63335274440463,16.831923035321125,-0.12226980829841594,0.019390581717451522,0.9750124937531235,0.9958401081149565,False
132,1,6,19,19,16.43822767646131,17.197927279780693,12.00887274047274,12.83795456615472,16.79399053255178,13.931923665290842,-0.7596996033193832,-0.036011080332409975,0.8650674662668666,0.9509138560490747,False
132,1,7,19,19,15.842007869561996,18.354232177391868,11.976594329083468,14.620566541935249,14.73474268938818,16.52657795885304,-2.5122243078298716,-0.11911357340720222,0.6216891554222889,0.9281889667411193,False
132,1,8,19,19,17.236484924897592,18.540394617677734,12.951619437077124,15.231179796483175,16.935175370070763,17.5106278032111,-1.3039096927801417,-0.036011080332409975,0.7411294352823589,0.9509138560490747,False
132,1,9,19,19,14.935837805358508,16.284885059826507,12.781459533680785,13.895896014655207,8.347042502337363,9.43673929276484,-1.3490472544679992,-0.09695290858725762,0.6596701649175413,0.9355322338830584,False
132,1,10,19,19,14.600502958327402,17.228049839419803,12.702513110485729,14.958446062917444,7.887674330292473,9.914907585054614,-2.6275468810924014,-0.1634349030470914,0.38130934532733635,0.7844077961019491,False
132,1,11,19,19,13.909710345946438,15.142220839482277,13.126735159649233,14.13396832287684,7.677146036923725,6.09125621273481,-1.2325104935358393,-0.16897506925207756,0.6181909045477262,0.9281889667411193,False
132,1,12,19,19,13.45588511475598,14.90717497696402,12.144532612372906,14.099284772255588,7.27830794138457,6.317517305307719,-1.451289862208041,-0.18559556786703602,0.5347326336831584,0.9281889667411193,False
132,1,13,19,19,13.47505671082076,14.655329696813133,11.803129550438554,14.323947465280186,7.52336808531116,6.105442862687412,-1.1802729859923726,-0.2077562326869806,0.6126936531734133,0.9281889667411193,False
132,1,14,19,19,13.610563627229817,14.598503903957806,12.150012407541745,14.300889868515888,7.830251580407622,5.83958369696431,-0.9879402767279881,-0.18005540166204986,0.688655672163918,0.9355322338830584,False
132,1,15,19,19,13.749323685079904,14.523079402707179,11.9762789244437,13.575938665043136,7.764117868861733,5.842375888703671,-0.7737557176272745,-0.1634349030470914,0.7531234382808596,0.9509138560490747,False
132,1,16,19,19,13.325975028142482,14.24930088930522,12.338323308554637,13.635741916626582,5.776839279314692,5.160067290699915,-0.9233258611627377,-0.14127423822714683,0.5992003998001,0.9281889667411193,False
132,1,17,19,19,12.53129429179374,14.40758470023376,11.990634662029557,13.97662351161734,4.894163114742902,5.195077062821176,-1.8762904084400205,-0.19667590027700832,0.24237881059470265,0.7427229781335748,False
132,1,18,19,19,12.4486219553387,14.164614243327238,11.888987656598816,12.752905310778456,4.740184259995369,4.98564665987248,-1.7159922879885379,-0.21329639889196675,0.28285857071464265,0.7542895219057137,False
132,1,19,19,19,12.44156620787232,13.93086132790895,12.138426871235453,12.55518895190096,4.638590438833761,4.417382686704557,-1.4892951200366298,-0.20221606648199447,0.33183408295852074,0.7699007639037624,False
132,1,20,19,19,12.303221601254739,13.784397308416965,12.227695951902094,12.753120903624204,4.352176307507489,4.337791250204508,-1.481175707162226,-0.18005540166204986,0.30684657671164417,0.7699007639037624,False
132,6,5,18,19,19.858282035120897,16.69750831886328,18.408126897408827,14.400527621998046,10.488135115560222,8.818706763866967,3.1607737162576157,0.22807017543859648,0.3233383308345827,0.7699007639037624,False
132,6,6,18,19,17.74515242350009,15.57872906638045,18.139855701795597,15.54341296364662,8.4624308948088,5.583464683803596,2.1664233571196405,0.18128654970760233,0.3588205897051474,0.7725548990210778,False
132,6,7,18,19,16.776163155192595,13.792578949062209,14.296330892709443,13.49552828552097,8.070652676595925,4.856801468813117,2.983584206130386,0.21052631578947367,0.1839080459770115,0.7157502329916123,False
132,6,8,18,19,15.110460798976987,13.67192902090091,14.551403515470223,14.101726780667118,6.590291427405619,4.799149650941854,1.4385317780760776,0.0935672514619883,0.4672663668165917,0.8817869546239537,False
132,6,9,18,19,14.356060660115835,12.152080864726114,13.193913212358865,11.681300449077616,6.896011307879647,3.6066692680320465,2.2039797953897207,0.19298245614035087,0.2318840579710145,0.7427229781335748,False
132,6,10,18,19,13.309638939861742,11.946223265204805,11.271338907604108,11.687852797808135,5.314054864361569,3.367307449048896,1.3634156746569364,0.09941520467836257,0.35132433783108447,0.7725548990210778,False
132,6,11,18,19,12.790188877509598,11.025807362662087,11.813265445187342,11.084358534392836,4.493711853794826,3.3932375317633,1.7643815148475106,0.21052631578947367,0.1714142928535732,0.7157502329916123,False
132,6,12,18,19,11.837453745627265,10.430244039633932,11.077631260825111,9.65003721905802,3.426450822155064,3.553990551731808,1.407209705993333,0.26900584795321636,0.2223888055972014,0.7427229781335748,False
132,6,13,18,19,11.199210529086994,10.130575734938693,11.201792609627576,9.682041382462168,3.218235307735343,3.314294042003736,1.0686347941483003,0.1871345029239766,0.3308345827086457,0.7699007639037624,False
132,6,14,18,19,10.572337031054312,10.0890309628791,11.077491815177012,10.270212728050984,2.8232641214270227,3.17585882072951,0.48330606817521193,0.08771929824561403,0.6271864067966016,0.9281889667411193,False
132,6,15,18,19,10.123166802745134,9.982600004290115,10.047245743622895,10.747387540710545,2.444897027629326,2.836079962133937,0.14056679845501918,0.0,0.8525737131434283,0.9509138560490747,False
132,6,16,18,19,9.779522414473917,10.06637969611953,9.416425177575185,10.62927607566603,2.7359333488665105,2.6642824905767344,-0.28685728164561297,-0.08771929824561403,0.7626186906546727,0.9509138560490747,False
132,6,17,18,19,9.485900527477394,9.761447347599871,9.354222541137576,10.0962181090233,2.544825917730619,2.482621039239779,-0.2755468201224769,-0.0935672514619883,0.7296351824087957,0.9509138560490747,False
132,6,18,18,19,9.308222032305396,9.708000549498921,9.0918126584763,9.372487284181304,2.6934973283886676,2.597952235061792,-0.39977851719352486,-0.1286549707602339,0.6541729135432284,0.9355322338830584,False
132,6,19,18,19,9.058758115704748,9.514923655908584,8.810707879417572,9.715049293710656,2.640771372910711,2.494087602141709,-0.4561655402038358,-0.12280701754385964,0.6036981509245377,0.9281889667411193,False
132,6,20,18,19,8.773893996207468,9.159269688158538,8.322367182541711,8.863908840964813,2.5561995091056766,2.3791551763430987,-0.38537569195107046,-0.10526315789473684,0.6316841579210395,0.9281889667411193,False
132,12,5,18,17,16.609307215513134,11.668450967225523,14.563418447007052,11.97207019018297,10.462053671284789,2.445726648966514,4.940856248287611,0.3006535947712418,0.06196901549225387,0.3432130088801753,False
132,12,6,18,17,14.462359834564618,10.285551443498075,14.329844418526044,9.38092247836899,6.334448352092395,3.4890795951420333,4.176808391066542,0.49019607843137253,0.010994502748625687,0.13193403298350825,False
132,12,7,18,17,12.20143903966583,10.281574084716098,11.92925103286652,9.49638880095526,3.843098048734769,3.3296644900871253,1.9198649549497322,0.3137254901960784,0.12443778110944528,0.5622188905547226,False
