series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,132,1,max,12,300,2.5342790871990704,2.608266200544218,0.11204930115714495,2.4695326218168794,2.6076218217195475,2.751903673646918,1000
S0,132,1,max,13,300,2.5863959888781958,2.673049921954774,0.11528493587798251,2.5261686720697734,2.6717704370506876,2.826128660870628,1000
S0,132,1,max,14,300,2.6379685137048017,2.7234610361079676,0.12467715030202721,2.5688041145000806,2.7184905983991077,2.8883496649868534,1000
S0,132,1,max,15,300,2.6831970366789335,2.774892638033913,0.13115906109909295,2.6154847494583877,2.768023588342932,2.944252055732296,1000
S0,132,1,max,16,300,2.7286267091527012,2.82621950421143,0.13157277633829662,2.662940500273341,2.8249198186510673,2.9984104742390025,1000
S0,132,1,max,17,300,2.7729199005097933,2.874731481623254,0.13450230580372885,2.701598653926155,2.871322357755898,3.0487403034394416,1000
S0,132,1,max,18,300,2.8150951207830808,2.9187725878107895,0.1414716741671959,2.745192590484979,2.914967165926666,3.1015719093516303,1000
S0,132,1,max,19,300,2.855890443539638,2.968731446063924,0.14434374544915704,2.788019612447053,2.9671971083253204,3.15282000772664,1000
S0,132,1,max,20,300,2.8936716621593033,3.000007704383338,0.14481803191016618,2.82213515449012,2.998802420835136,3.1814182690511315,1000
S0,132,1,unknown,5,80,1.4293462073568992,1.4598826067176365,0.05627498536391105,1.391346443029502,1.4543808245081151,1.5355900863534206,1000
S0,132,1,unknown,6,80,1.4488708040637392,1.486771488060591,0.058201904471253736,1.413634028244037,1.4820002497631508,1.5591536849302738,1000
S0,132,1,unknown,7,80,1.468229511066775,1.513228283536584,0.061974560891756264,1.4384320986280206,1.5091187615365014,1.592282159513704,1000
S0,132,1,unknown,8,80,1.4875814937711151,1.5352108071039965,0.06345687868296308,1.4572451187335937,1.5303208356575808,1.6192971999129404,1000
S0,132,1,unknown,9,80,1.505177094147249,1.5567241839807193,0.06360108493927749,1.477251768089042,1.5531978803246291,1.64075936800093,1000
S0,132,1,unknown,10,80,1.521104248703714,1.576586488347406,0.07144105591215985,1.4928004941833877,1.5707727322708531,1.666409407758267,1000
S0,132,1,unknown,11,80,1.536903439778134,1.591638914051464,0.06843366328751858,1.5091139166987924,1.5879833707228146,1.6769495228264328,1000
S0,132,1,unknown,12,80,1.5526221161590246,1.6158806633283314,0.07361320413994042,1.5252678852848696,1.6110518481241598,1.7100955155361874,1000
S0,132,1,unknown,13,80,1.5661323782191956,1.6324992635555406,0.07806516217761918,1.5398799841778363,1.62637314256839,1.735436626387699,1000
S0,132,1,unknown,14,80,1.579677650678473,1.6489633615174895,0.07751777608072528,1.552725387387075,1.644449907232753,1.7494954702342844,1000
S0,132,1,unknown,15,80,1.5929995315717014,1.6594571873910284,0.07872202797870442,1.5643775340055404,1.6545444275971322,1.7557443446559575,1000
S0,132,1,unknown,16,80,1.603664716812619,1.6791549876895526,0.0798641250687623,1.581613356089696,1.6730700178631843,1.7811558483562224,1000
S0,132,1,unknown,17,80,1.6139711097384304,1.692969255488941,0.08247530636837332,1.5927729950490395,1.6861929575670898,1.7986851146674772,1000
S0,132,1,unknown,18,80,1.623444730898274,1.7022841103100195,0.0822999285269949,1.6015639604786487,1.6941147701077217,1.8065744655629579,1000
S0,132,1,unknown,19,80,1.6328940310391244,1.7128765826219092,0.08179149689482416,1.6143410686677782,1.706519971425744,1.8215168703348168,1000
S0,132,1,unknown,20,80,1.6421490210940637,1.7221696200074343,0.08217687326869724,1.6248502378798857,1.7181303277609676,1.823905187854723,1000
S0,132,6,declining,5,247,2.0278607050777198,2.035777619813444,0.07116636035713605,1.9462099351285154,2.034771625854608,2.1244027423947536,1000
S0,132,6,declining,6,247,2.072306962503383,2.0876141042788765,0.07375091151502619,1.9949522159931294,2.088056665753617,2.1839378466516033,1000
S0,132,6,declining,7,247,2.104859085577717,2.1246084098856097,0.07784182295014791,2.025453702702298,2.1222942314914626,2.222731377774431,1000
S0,132,6,declining,8,247,2.1365012789050484,2.1622063824977467,0.07943858625923302,2.0588312962439512,2.159948197768254,2.264765073907269,1000
S0,132,6,declining,9,247,2.1655669589944893,2.196843182447913,0.0819035921239696,2.0892028117402504,2.1951247918484436,2.301910465002134,1000
S0,132,6,declining,10,247,2.193408579292651,2.2240532650281892,0.08416439420061353,2.119752811072396,2.221724128632041,2.3351544061663687,1000
S0,132,6,declining,11,247,2.2189340896884833,2.259253277024507,0.0852957821418489,2.155835227344987,2.2556961371381883,2.3735885179804135,1000
S0,132,6,declining,12,247,2.243509374142474,2.2857338198744146,0.08812521582305932,2.1719992292807095,2.2868642083201323,2.392630338633415,1000
S0,132,6,declining,13,247,2.2672402404291456,2.3071730324409265,0.08971816746533391,2.1936496297622803,2.3019987572548954,2.4221220921234092,1000
S0,132,6,declining,14,247,2.289415293381241,2.3366009117648763,0.08862782424547126,2.224062655617586,2.334926667063452,2.4530750976657827,1000
S0,132,6,declining,15,247,2.310192313476774,2.3604973516692516,0.09102509798001186,2.249381766884526,2.3567154748112618,2.480696905194613,1000
S0,132,6,declining,16,247,2.330885297507764,2.3797083006338373,0.09319362762974119,2.2577191708289788,2.3779124079969804,2.505005623550842,1000
S0,132,6,declining,17,247,2.3501022432603884,2.3971953459184823,0.09149156129651163,2.2840583439185127,2.3965562480813736,2.513155481504153,1000
S0,132,6,declining,18,247,2.3690727808987697,2.4206930704101777,0.09303794675339618,2.300994721654938,2.422211680968675,2.539081110259809,1000
S0,132,6,declining,19,247,2.3866396801779133,2.4410583165749293,0.09436848026514236,2.322340668072292,2.4381882142610354,2.5704398727292608,1000
S0,132,6,declining,20,247,2.4037596929786553,2.463715696218872,0.0966699739190626,2.341684457973047,2.4606139376476226,2.5889436284625917,1000
S0,132,6,min,5,48,2.8789481172481612,3.0800082270585185,0.320332682094129,2.6639449855155024,3.075159754021027,3.5040164402410596,1000
S0,132,6,min,6,48,3.149580083644249,3.400663878539256,0.3847424933414147,2.917370436821333,3.3958637857928635,3.914149493680316,1000
S0,132,6,min,7,48,3.396266693513501,3.6734443515525483,0.4345599946344892,3.107878532885787,3.6529720098691616,4.240691434468275,1000
S0,132,6,min,8,48,3.635061257167698,3.9550140621598393,0.4892878745720039,3.35188794435672,3.925316035981553,4.612689598896337,1000
S0,132,6,min,9,48,3.8540840468581883,4.21300005517849,0.5233696258429228,3.531289699847998,4.207192122774334,4.9331183262247835,1000
S0,132,6,min,10,48,4.063191650515263,4.391817627337074,0.559347269059343,3.7121670336649246,4.360852697242226,5.162495710275873,1000
S0,132,6,min,11,48,4.261408320339136,4.627289443426785,0.618092811095668,3.884817771057456,4.587505339916001,5.436453074415529,1000
S0,132,6,min,12,48,4.452709783861783,4.778921974211776,0.6193525560786124,4.010767248730546,4.762578444665556,5.589483091337686,1000
S0,132,6,min,13,48,4.635744224705709,4.930451384977497,0.6624310544106179,4.112568278456238,4.908576808361392,5.757956541122856,1000
S0,132,6,min,14,48,4.795349050179039,5.077374576147151,0.7013993672989663,4.14862703059689,5.0575974533752905,5.992823641113914,1000
S0,132,6,min,15,48,4.9481889376532955,5.25744628608693,0.7463858745148286,4.289384016974433,5.230309033542438,6.2360399034647855,1000
S0,132,6,min,16,48,5.093622898642248,5.374786953714163,0.7513894363897426,4.433393855943936,5.330912358199502,6.360263017081776,1000
S0,132,6,min,17,48,5.237229035022096,5.436350463086223,0.715706530586583,4.544669870694492,5.4220403012730305,6.3461120443443075,1000
S0,132,6,min,18,48,5.36592752834778,5.609940346663693,0.796548184439075,4.63035819093535,5.56575594995428,6.669540530706671,1000
S0,132,6,min,19,48,5.490218126810706,5.658958476496243,0.8168983134177301,4.639131122914855,5.641122790586321,6.736841325282743,1000
S0,132,6,min,20,48,5.608501662249037,5.766256143914114,0.8130883694488766,4.750202474828525,5.728220501923941,6.818300658312752,1000
S0,132,6,rising,5,165,2.234995577525327,2.2716756898813175,0.09583662567209542,2.1455921947612957,2.2749000084928155,2.392341309903285,1000
S0,132,6,rising,6,165,2.316617033318758,2.3717999239255785,0.10163561052603094,2.2364404707074046,2.376159653879421,2.4979638891094695,1000
S0,132,6,rising,7,165,2.392453194602486,2.4609203937515445,0.11208865791248854,2.3125376606496193,2.466188912521522,2.604242928104949,1000
S0,132,6,rising,8,165,2.459598358136582,2.5409998433163574,0.11482021701752437,2.3949771241550732,2.538909825931681,2.6896987215888095,1000
S0,132,6,rising,9,165,2.5233971247942537,2.6179239016855917,0.1240488146802253,2.454839427859595,2.6138974357845957,2.776528594512503,1000
S0,132,6,rising,10,165,2.5848599416702602,2.6869479167268793,0.1265896593916553,2.5253579393713923,2.6863503182201143,2.846041551395617,1000
S0,132,6,rising,11,165,2.645019147000068,2.765999024803394,0.12964376893126228,2.5992131401709275,2.7639176088290656,2.9341123215522282,1000
S0,132,6,rising,12,165,2.7048058771588557,2.823435514169744,0.1410101207369486,2.646411837975104,2.8168404552573323,3.008297455864831,1000
S0,132,6,rising,13,165,2.7631802146650517,2.8844752233914916,0.14470862052528233,2.704139332811047,2.8791496651617043,3.0758127716516315,1000
S0,132,6,rising,14,165,2.815328506717842,2.9445186974500874,0.14939152504200223,2.7452674040028158,2.945289863949243,3.1261880483261346,1000
S0,132,6,rising,15,165,2.8639144355810324,2.9907649465443567,0.1514166651859668,2.795281074138038,2.9886895449705495,3.190291411759387,1000
S0,132,6,rising,16,165,2.910584514709323,3.0438111575929123,0.15878104839012808,2.8414325140031114,3.0413683994402403,3.2457741269368814,1000
S0,132,6,rising,17,165,2.955086041210859,3.1017270540598925,0.15682776370861157,2.8937180756148817,3.0992931783096402,3.30287543948329,1000
S0,132,6,rising,18,165,2.996900166096609,3.140953426908136,0.16608712166410694,2.9267536329031425,3.1400572872233834,3.3556398638720366,1000
S0,132,6,rising,19,165,3.0378365021730933,3.1846938120299573,0.1717384293936011,2.964584893302208,3.180309961909698,3.4074384361250085,1000
S0,132,6,rising,20,165,3.0772647481542355,3.22242071339842,0.17395720367215772,2.9996443994021833,3.2173443313992416,3.448590938623262,1000
S0,132,6,max,5,50,2.2142620136182853,2.3028980624539215,0.1918052762116807,2.0603078016218577,2.2892547885681234,2.5590195612494653,1000
S0,132,6,max,6,50,2.331616051466467,2.4580623323718966,0.22210514911252674,2.1863766603572206,2.4435997495870714,2.7473363651886276,1000
S0,132,6,max,7,50,2.4432919455330393,2.601669115185984,0.2465542493096843,2.3083909428147003,2.577183195098854,2.924292952082806,1000
S0,132,6,max,8,50,2.5522567697216645,2.7186331704454294,0.2655011572897848,2.4087367638397934,2.6990471418297113,3.0621992758370284,1000
S0,132,6,max,9,50,2.6528542376808377,2.820585806945614,0.2791887550165326,2.475477012568419,2.812440366667036,3.175237074333212,1000
S0,132,6,max,10,50,2.7538705633925624,2.9422757960979573,0.2996054362684279,2.5889010593790744,2.921152097765634,3.315891766190062,1000
S0,132,6,max,11,50,2.845248041123941,3.0336781255442267,0.3209189524343605,2.6334331518272425,3.0050556662439,3.4457065156364513,1000
S0,132,6,max,12,50,2.9322055856081173,3.1013568921158567,0.3443025489636279,2.6769216720658,3.0718721329917207,3.551420095888827,1000
