W,G,cycle_phase,k,d_mean,d_std,n_windows
60,12,declining,7,12.994388478355992,5.64047120262285,129
60,12,declining,8,12.115753177660023,5.0097899765058305,129
60,12,declining,9,11.5931684112323,4.682971106680773,129
60,12,declining,10,10.795307875523628,3.9044198719865335,129
60,12,declining,11,10.4286618833122,3.826076118451123,129
60,12,declining,12,10.238620385589096,3.698014172175799,129
60,12,declining,13,9.84243513040136,3.242078481602891,129
60,12,declining,14,9.520413389041158,3.208880377188178,129
60,12,declining,15,9.342291426627986,3.2140186196309046,129
60,12,declining,16,8.865858674009887,2.642891317544803,129
60,12,declining,17,8.669756311959606,2.558213479533992,129
60,12,declining,18,8.448990245984549,2.591114378866023,129
60,12,declining,19,8.188112276958412,2.498807417778135,129
60,12,declining,20,8.063579531871628,2.3720396803189128,129
60,12,max,5,13.829652696448843,8.391717120413066,25
60,12,max,6,12.328018372247737,4.195064424924977,25
60,12,max,7,10.804221770024348,3.310704554743144,25
60,12,max,8,10.34014655424745,3.0771566720719776,25
60,12,max,9,9.751936168050454,2.8126395060145817,25
60,12,max,10,9.04269594845179,2.794423918308503,25
60,12,max,11,8.820282047037258,2.5904793231532106,25
60,12,max,12,8.805780938082682,2.3582310328756466,25
60,12,max,13,8.796311806282889,2.485863556522284,25
60,12,max,14,8.646165143186842,2.43881074341885,25
60,12,max,15,8.372894269218131,2.4170744463884035,25
60,12,max,16,8.169517805278709,2.3484906948856925,25
60,12,max,17,7.985826561284072,2.3888069535311156,25
60,12,max,18,7.876924305596013,2.398839708634224,25
60,12,max,19,7.7384257841519695,2.411417167822529,25
