series,W,G,phase,k,n_windows_x,PR_point_x,PR_mean_orig,PR_std_orig,PR_10_x,PR_50_x,PR_90_x,n_bootstrap_effective_x,n_windows_y,PR_point_y,PR_mean_corr,PR_std_corr,PR_10_y,PR_50_y,PR_90_y,n_bootstrap_effective_y,diff_PR_mean,rel_diff_PR_mean
S0,264,6,min,10,46,3.462983061192434,3.621312476571585,0.3445491307852876,3.2078122337852037,3.587406731099469,4.0760875089666,1000,46,3.8140782156004978,4.045500911408903,0.4795349964916067,3.4408154823518315,4.029126561199042,4.675060814931335,1000,0.4241884348373177,0.11713665627632079
S0,264,6,min,11,46,3.556254001207237,3.744540221346048,0.3627239367615528,3.2979043332733915,3.7324883756081553,4.229245217522587,1000,46,3.94026316736453,4.206956272921671,0.5146927794097718,3.539116365005108,4.199665902409965,4.862912763773988,1000,0.46241605157562304,0.12349074231853185
S0,264,6,min,12,46,3.646587752242104,3.82945602029858,0.3694555379370068,3.363723430570961,3.8027725165438273,4.307686843652029,1000,46,4.060261360266204,4.302307142952281,0.5425688218295526,3.623672300472772,4.265845452942253,5.018739463415738,1000,0.4728511226537009,0.12347736079152907
S0,264,6,min,13,46,3.730672770535735,3.934636828397045,0.4205488546483952,3.440362975335721,3.904614913342312,4.485046678055836,1000,46,4.177490057812214,4.482107723469056,0.583894966047292,3.7550019236515295,4.473224159986218,5.242155035394931,1000,0.5474708950720113,0.1391414046452284
S0,264,6,min,14,46,3.8151033374231513,4.019059781696277,0.4246498833080693,3.494013996487528,4.003295230645196,4.573198069747461,1000,46,4.291669118912088,4.573312520706037,0.579601678391736,3.86480302625773,4.539290022491686,5.346485363773808,1000,0.55425273900976,0.13790606985592863
S0,264,6,min,15,46,3.889582563322723,4.071497099489172,0.4321215867440897,3.547492166951639,4.045528121330497,4.634484217014035,1000,46,4.39370281684415,4.64833595757361,0.6135871116774926,3.8591509716075594,4.605083498555778,5.457159021475647,1000,0.5768388580844377,0.14167733489403944
S0,264,6,min,16,46,3.961700521152868,4.181878845975014,0.4547638438014067,3.630394556313626,4.153011538216303,4.793094012288534,1000,46,4.492017561828208,4.80031162619231,0.6374429574075267,4.026497145408476,4.761600442617688,5.625404327833101,1000,0.6184327802172964,0.1478839543169758
S0,264,6,min,17,46,4.031620905644911,4.202506882099178,0.4429369598009644,3.670723909048364,4.1675310935305685,4.80834135656501,1000,46,4.587866156008226,4.855777253983703,0.6351813779328218,4.027447610007231,4.839159244907552,5.664520674414703,1000,0.653270371884525,0.15544778157703157
S0,264,6,min,18,46,4.098487691772842,4.292485714452044,0.444287845255524,3.754932088482844,4.252609630914915,4.863863534104265,1000,46,4.682653525632776,4.976858377567305,0.6592146150936997,4.158058027198623,4.965926181361713,5.810475373919302,1000,0.6843726631152611,0.1594350473459
S0,264,6,min,19,46,4.164144834595458,4.331113325055883,0.4684137373269925,3.740153187420868,4.312625581173422,4.93062020976044,1000,46,4.773090335887755,5.035901269007194,0.6749099078573546,4.193495448751986,5.018978336185361,5.91739642976543,1000,0.7047879439513114,0.16272673815160857
S0,264,6,min,20,46,4.2266113418981,4.375012385376991,0.4715957587693393,3.798713632501415,4.32176611361783,4.980402635410278,1000,46,4.858755069840588,5.081350184441293,0.6783508722850395,4.212138484179058,5.020314451714054,5.9996528224977865,1000,0.7063377990643023,0.16144818273547307
S0,264,6,unknown,5,13,1.81154292739322,1.7800710458655895,0.1742435625532179,1.5567569805218593,1.7749536711438565,2.0081656954682154,1000,13,1.8133727664091372,1.7837860223779234,0.1745856898999935,1.5578288373965694,1.7765111685808523,2.01624709190393,1000,0.0037149765123338785,0.0020869821577977573
S0,264,6,unknown,6,13,1.8518455955992572,1.8298563588834256,0.1801543011571951,1.6056045428920869,1.82260336413538,2.068957461241439,1000,13,1.8544038268368583,1.8342811795008775,0.1803439718185316,1.610998937364697,1.8288897840395648,2.0752650883976,1000,0.004424820617451974,0.0024181245680682775
S0,264,6,unknown,7,13,1.8908150250065312,1.850870064260468,0.1902501291490695,1.609383546996365,1.8462320432393,2.100206845705206,1000,13,1.8940862015671325,1.855807170403756,0.1908779107432836,1.6144613329463648,1.8497008716178065,2.106859038424693,1000,0.004937106143287906,0.0026674515076024917
S0,264,6,unknown,8,13,1.925152255927599,1.874033673625405,0.1936431278451715,1.6264510877578038,1.8732194915426876,2.1248867836011014,1000,13,1.9290459728025424,1.879299077668737,0.1939329722374805,1.6326541171645963,1.880189912781789,2.127385191951895,1000,0.005265404043331978,0.0028096635174894215
S0,264,6,unknown,9,13,1.9540254476402252,1.879136698337168,0.188787939184822,1.6385232545217177,1.8764777226383789,2.1186072155529,1000,13,1.9584455593912065,1.8843262848871327,0.188867962962667,1.6426752147107384,1.880675935793033,2.127886803918693,1000,0.005189586549964709,0.0027616865524242753
S0,264,6,unknown,10,13,1.9823474281656823,1.8708735676549972,0.1951992270057091,1.6128498583583708,1.863787441092386,2.120513552410123,1000,13,1.9873113512943064,1.875734828200108,0.1954573690517692,1.614770145034299,1.8695739648664629,2.1259828729146752,1000,0.004861260545110824,0.002598390735299156
S0,264,6,unknown,11,13,2.009831371715549,1.8791110217485645,0.1984652198526719,1.6228182773191837,1.877768685051232,2.144091519723963,1000,13,2.0153257138936107,1.8843694119393155,0.1984701453675752,1.626860269756043,1.8850469306599416,2.150410943479756,1000,0.005258390190751028,0.0027983392837842816
